id,ROUGE-1,ROUGE-2,ROUGE-L,BLEU-1,BLEU-2,BLEU-3,BLEU-4,BLEU,METEOR,BERTScore-F1
123,0.4867,0.2321,0.2566,0.3452,0.2117,0.149,0.1132,0.1132,0.2738,0.2624
124,0.5354,0.3651,0.4252,0.3031,0.249,0.2138,0.1905,0.1905,0.2814,0.4319
125,0.4167,0.2105,0.3125,0.3513,0.2252,0.1418,0.0897,0.0897,0.2935,0.2001
126,0.25,0.0976,0.1532,0.1192,0.0693,0.0477,0.035,0.035,0.1148,-0.0587
127,0.4172,0.1739,0.2945,0.2759,0.1602,0.0845,0.0518,0.0518,0.3073,0.3554
128,0.5551,0.24,0.3789,0.374,0.2332,0.1638,0.1183,0.1183,0.2762,0.3206
129,0.4242,0.1603,0.2803,0.202,0.1144,0.0641,0.0405,0.0405,0.207,0.2697
130,0.2945,0.0621,0.184,0.2174,0.0847,0.02,0.0097,0.0097,0.1762,0.0355
131,0.229,0.093,0.1832,0.1146,0.0491,0.0295,0.0129,0.0129,0.2885,0.1286
132,0.1852,0.0189,0.1111,0.1216,0.0408,0.0132,0.0076,0.0076,0.1343,0.011
133,0.4659,0.2069,0.3182,0.3571,0.227,0.1172,0.0642,0.0642,0.3246,0.2649
134,0.251,0.0996,0.1597,0.1299,0.0754,0.0482,0.0325,0.0325,0.1007,-0.0504
135,0.3195,0.1198,0.2249,0.2682,0.1522,0.1203,0.1024,0.1024,0.1887,-0.0712
136,0.4217,0.1585,0.3012,0.3125,0.1664,0.0892,0.031,0.031,0.2291,0.3293
137,0.5314,0.3048,0.3542,0.2903,0.2149,0.1668,0.1323,0.1323,0.3155,0.4002
138,0.515,0.2545,0.3473,0.4432,0.2943,0.2229,0.1797,0.1797,0.4137,0.4035
139,0.3162,0.1037,0.2279,0.1337,0.0788,0.0542,0.0408,0.0408,0.1066,0.0969
140,0.3793,0.0698,0.2184,0.2959,0.1235,0.0682,0.024,0.024,0.2888,0.1645
141,0.3879,0.1595,0.2303,0.2232,0.1345,0.069,0.0417,0.0417,0.3469,0.2613
142,0.42,0.1818,0.28,0.3159,0.1892,0.1142,0.0354,0.0354,0.2513,0.1824
143,0.3529,0.1538,0.2353,0.2025,0.1139,0.0552,0.0217,0.0217,0.3477,0.1849
144,0.2346,0.0125,0.1358,0.1667,0.0448,0.0135,0.0074,0.0074,0.1474,-0.1338
145,0.3962,0.2381,0.3019,0.2621,0.1891,0.1528,0.1291,0.1291,0.2499,0.207
146,0.3351,0.0656,0.1838,0.2778,0.079,0.0192,0.0095,0.0095,0.1827,0.0984
147,0.2657,0.0986,0.2028,0.0852,0.0503,0.0302,0.0166,0.0166,0.1061,-0.1048
148,0.3791,0.1325,0.2353,0.2333,0.0724,0.0181,0.0091,0.0091,0.202,0.1463
149,0.283,0.0857,0.1792,0.233,0.1069,0.0484,0.0183,0.0183,0.1759,0.0608
150,0.422,0.2222,0.3119,0.3137,0.2201,0.173,0.144,0.144,0.291,0.2519
151,0.617,0.4194,0.4787,0.5153,0.4426,0.3966,0.3699,0.3699,0.4952,0.4566
152,0.442,0.2346,0.3425,0.3953,0.2641,0.188,0.148,0.148,0.2911,0.1961
153,0.4528,0.2038,0.327,0.35,0.2105,0.1194,0.0686,0.0686,0.3367,0.2012
154,0.3083,0.1434,0.1897,0.2021,0.1275,0.0933,0.0745,0.0745,0.1828,0.0595
155,0.3069,0.07,0.2178,0.2173,0.0857,0.0185,0.0086,0.0086,0.1319,0.0626
156,0.2532,0.1017,0.1308,0.0277,0.0164,0.0116,0.0082,0.0082,0.1099,-0.014
157,0.4957,0.2807,0.2957,0.3528,0.245,0.1856,0.1435,0.1435,0.2819,0.3011
158,0.1043,0.0177,0.0696,0.0349,0.0064,0.0037,0.0028,0.0028,0.1024,-0.0078
159,0.3506,0.0884,0.1912,0.1908,0.0758,0.0327,0.0121,0.0121,0.1591,0.0828
160,0.3949,0.1935,0.2166,0.2581,0.1589,0.0822,0.028,0.028,0.289,0.1751
161,0.2562,0.075,0.1653,0.1175,0.0504,0.0303,0.0198,0.0198,0.1204,0.0083
162,0.3187,0.0444,0.1758,0.2551,0.0513,0.014,0.0073,0.0073,0.1971,-0.0157
163,0.3832,0.1333,0.2635,0.2737,0.1428,0.0957,0.0731,0.0731,0.2518,0.1477
164,0.155,0.063,0.1085,0.0769,0.011,0.0058,0.0042,0.0042,0.0915,-0.1886
165,0.3913,0.1176,0.2464,0.2234,0.1201,0.025,0.0115,0.0115,0.3268,0.2557
166,0.3644,0.1796,0.2429,0.2771,0.1922,0.1551,0.1321,0.1321,0.2281,0.193
167,0.5277,0.3863,0.417,0.3255,0.2758,0.2453,0.2203,0.2203,0.3225,0.397
168,0.4121,0.1104,0.2788,0.2907,0.1547,0.1125,0.091,0.091,0.2941,0.1491
169,0.4089,0.2637,0.3323,0.1044,0.0838,0.068,0.0578,0.0578,0.1805,0.3022
170,0.4085,0.2128,0.3099,0.1628,0.1147,0.0895,0.0738,0.0738,0.1929,0.2156
171,0.3842,0.16,0.2825,0.2784,0.1786,0.139,0.1144,0.1144,0.3046,0.0951
172,0.5578,0.3034,0.449,0.4,0.2673,0.1902,0.1431,0.1431,0.4822,0.4762
173,0.3922,0.2134,0.1961,0.1938,0.1276,0.0903,0.0678,0.0678,0.1826,0.1685
174,0.4539,0.2734,0.3546,0.3294,0.2505,0.2086,0.1776,0.1776,0.3505,0.2992
175,0.3697,0.1186,0.2353,0.2158,0.1085,0.0661,0.0482,0.0482,0.198,0.1391
176,0.4199,0.1899,0.2762,0.3232,0.1905,0.1309,0.0915,0.0915,0.2994,0.1651
177,0.5962,0.4078,0.4327,0.4625,0.3835,0.3263,0.2819,0.2819,0.3995,0.4145
178,0.4,0.2857,0.3556,0.2366,0.2028,0.1805,0.1637,0.1637,0.4383,0.267
179,0.2475,0.01,0.1584,0.1906,0.0418,0.0118,0.0062,0.0062,0.1084,0.0119
180,0.2914,0.094,0.2384,0.1978,0.0938,0.0215,0.0103,0.0103,0.2089,0.1753
181,0.3109,0.1571,0.2694,0.2735,0.1945,0.1417,0.1115,0.1115,0.2354,0.0744
182,0.4138,0.1958,0.331,0.2941,0.205,0.1525,0.1147,0.1147,0.3812,0.3112
183,0.4082,0.2621,0.3401,0.2747,0.214,0.1834,0.1627,0.1627,0.267,0.2996
184,0.2727,0.0308,0.1515,0.1429,0.0563,0.0153,0.008,0.008,0.2386,0.1362
185,0.3518,0.1523,0.2211,0.2141,0.1173,0.0765,0.0438,0.0438,0.1965,0.1358
186,0.3727,0.1009,0.1909,0.2924,0.1334,0.0777,0.0537,0.0537,0.1782,0.0821
187,0.6781,0.6483,0.637,0.3909,0.3824,0.3693,0.3582,0.3582,0.4758,0.6434
188,0.2792,0.0913,0.1585,0.1084,0.0594,0.0387,0.0264,0.0264,0.101,0.0606
189,0.3474,0.1809,0.2526,0.2537,0.1735,0.1283,0.0896,0.0896,0.2692,0.0407
190,0.5224,0.321,0.3918,0.3162,0.2409,0.1909,0.1559,0.1559,0.3004,0.3349
191,0.3913,0.1538,0.2174,0.3732,0.223,0.1188,0.0786,0.0786,0.2647,0.1448
192,0.2924,0.1538,0.1988,0.2217,0.1498,0.0916,0.0307,0.0307,0.1728,0.0793
193,0.3628,0.1502,0.2233,0.2786,0.1542,0.0936,0.0615,0.0615,0.1895,0.0504
194,0.4848,0.3282,0.3788,0.2287,0.1794,0.1482,0.1247,0.1247,0.294,0.3686
195,0.5,0.2138,0.3219,0.2426,0.1486,0.1019,0.0765,0.0765,0.238,0.3287
196,0.5403,0.3541,0.3886,0.4045,0.3107,0.2596,0.2223,0.2223,0.3722,0.3184
197,0.4286,0.161,0.2605,0.2517,0.1443,0.093,0.0479,0.0479,0.2128,0.242
198,0.35,0.084,0.1833,0.202,0.0524,0.0124,0.006,0.006,0.1243,0.1125
199,0.5102,0.1753,0.3061,0.4158,0.214,0.1324,0.0698,0.0698,0.2783,0.3191
200,0.332,0.1401,0.2162,0.1879,0.122,0.0984,0.0867,0.0867,0.2005,0.0145
201,0.4526,0.1383,0.2421,0.3975,0.1739,0.0999,0.0577,0.0577,0.216,0.2882
202,0.2439,0.069,0.1366,0.1918,0.0747,0.0176,0.0086,0.0086,0.1379,-0.0239
203,0.3429,0.1503,0.2857,0.2551,0.1538,0.12,0.1022,0.1022,0.2595,0.1543
204,0.3817,0.1423,0.2324,0.2373,0.1341,0.0701,0.0217,0.0217,0.2048,0.079
205,0.4286,0.1889,0.2527,0.3461,0.2101,0.1335,0.094,0.094,0.2571,0.0215
206,0.5532,0.3777,0.417,0.3301,0.2748,0.2394,0.2137,0.2137,0.3516,0.3001
207,0.4672,0.3111,0.4234,0.3077,0.2365,0.1945,0.1674,0.1674,0.4934,0.4343
208,0.2788,0.0613,0.1939,0.1717,0.0837,0.0525,0.035,0.035,0.1716,0.0129
209,0.5119,0.4217,0.4286,0.481,0.4301,0.4018,0.3822,0.3822,0.4412,0.2488
210,0.3724,0.1399,0.2621,0.2469,0.147,0.103,0.0612,0.0612,0.2599,0.1722
211,0.3763,0.1196,0.2258,0.2644,0.096,0.0221,0.0107,0.0107,0.1893,0.126
212,0.4045,0.1364,0.2247,0.3407,0.1846,0.0915,0.0305,0.0305,0.3007,0.1198
213,0.24,0.0897,0.16,0.1297,0.0737,0.0404,0.0142,0.0142,0.1179,-0.0167
214,0.3587,0.1429,0.2283,0.2775,0.1579,0.1123,0.0756,0.0756,0.2499,0.0511
215,0.4867,0.2054,0.3274,0.407,0.2386,0.1521,0.0985,0.0985,0.2786,0.2651
216,0.4155,0.1756,0.2029,0.2893,0.1879,0.1204,0.0734,0.0734,0.2294,0.2223
