id,ROUGE-1,ROUGE-2,ROUGE-L,BLEU-1,BLEU-2,BLEU-3,BLEU-4,BLEU,METEOR,BERTScore-F1
2132,0.4615,0.2155,0.3675,0.2948,0.1927,0.1399,0.1068,0.1068,0.267,0.2929
3157,0.4454,0.1949,0.2605,0.2998,0.1906,0.1352,0.1045,0.1045,0.2434,0.2234
1628,0.4828,0.2442,0.3448,0.407,0.268,0.2045,0.1639,0.1639,0.3656,0.2386
1121,0.2911,0.1327,0.2066,0.1492,0.0906,0.0612,0.0469,0.0469,0.1467,0.0058
3170,0.3407,0.1,0.2088,0.2291,0.1006,0.0484,0.0189,0.0189,0.1895,0.1611
1124,0.3046,0.0718,0.2132,0.2051,0.078,0.0183,0.0089,0.0089,0.1552,0.0572
614,0.4651,0.2629,0.3442,0.4017,0.2982,0.2264,0.1818,0.1818,0.2912,0.2327
2669,0.6,0.3109,0.3083,0.3063,0.2054,0.1392,0.0892,0.0892,0.2986,0.2698
110,0.2419,0.0656,0.1452,0.1023,0.0108,0.0052,0.0036,0.0036,0.133,0.0683
1646,0.472,0.2013,0.3354,0.3614,0.2099,0.1177,0.0672,0.0672,0.3256,0.1905
1648,0.2293,0.0387,0.1401,0.1613,0.0725,0.0387,0.0159,0.0159,0.1763,0.039
3186,0.575,0.479,0.5333,0.4306,0.3945,0.3798,0.3699,0.3699,0.4471,0.3007
1651,0.2264,0.0769,0.1509,0.1053,0.053,0.0156,0.0085,0.0085,0.188,-0.0364
2675,0.5,0.358,0.4512,0.4337,0.3563,0.3044,0.2651,0.2651,0.3719,0.4
1653,0.2083,0.0704,0.1111,0.1058,0.0555,0.0145,0.0074,0.0074,0.1707,0.0748
2174,0.4211,0.2249,0.3392,0.3294,0.2077,0.1375,0.0987,0.0987,0.3317,0.2359
1663,0.2222,0.145,0.2042,0.073,0.061,0.0546,0.0502,0.0502,0.1306,-0.0108
2687,0.2627,0.2051,0.2627,0.2087,0.1961,0.183,0.1746,0.1746,0.2295,0.0103
2691,0.4788,0.2101,0.3089,0.2756,0.1778,0.1243,0.0991,0.0991,0.2348,0.2816
1668,0.29,0.0606,0.16,0.22,0.0923,0.0437,0.0169,0.0169,0.1677,0.0078
648,0.3763,0.1304,0.2688,0.29,0.1712,0.0964,0.0551,0.0551,0.2654,0.1388
2698,0.622,0.4921,0.5433,0.4566,0.4002,0.3616,0.3303,0.3303,0.4251,0.4579
141,0.3205,0.1299,0.2179,0.1961,0.1166,0.0648,0.0407,0.0407,0.2747,0.1614
2195,0.4377,0.3051,0.3704,0.1891,0.1632,0.1509,0.1435,0.1435,0.2589,0.2117
1684,0.3694,0.1935,0.1911,0.2766,0.1889,0.1395,0.1045,0.1045,0.2986,0.2505
2709,0.4925,0.1726,0.3216,0.3473,0.1905,0.1015,0.0564,0.0564,0.2409,0.2253
3220,0.3129,0.1793,0.2585,0.2111,0.1615,0.1212,0.0951,0.0951,0.2863,0.0644
152,0.453,0.2905,0.3867,0.3809,0.2793,0.2313,0.1926,0.1926,0.334,0.2181
3233,0.2692,0.0649,0.1795,0.1702,0.0605,0.0158,0.0081,0.0081,0.2018,-0.0121
166,0.4016,0.1862,0.2651,0.2981,0.1997,0.1593,0.1349,0.1349,0.2696,0.2273
