id,generation_time_seconds,diffusion_steps,n_entities_pinned
881,13.009,64,9
882,27.478,64,8
883,9.49,64,8
884,18.924,64,11
885,14.142,64,9
886,14.066,64,9
887,20.366,64,9
888,24.147,64,11
889,13.472,64,8
890,23.539,64,11
891,13.671,64,12
892,14.205,64,8
893,9.371,64,8
894,18.573,64,9
895,28.939,64,10
896,11.899,64,10
897,9.718,64,10
898,13.544,64,7
899,17.611,64,12
900,17.505,64,12
901,17.541,64,11
902,12.205,64,8
903,18.826,64,8
904,18.66,64,13
905,33.922,64,6
906,18.605,64,10
907,18.812,64,8
908,16.891,64,9
909,17.435,64,11
910,18.568,64,9
911,20.462,64,9
912,12.068,64,10
913,7.912,64,9
914,12.852,64,8
915,13.825,64,10
916,11.992,64,10
917,13.808,64,10
918,13.149,64,9
919,14.135,64,12
920,18.522,64,13
921,18.933,64,10
922,20.131,64,11
923,14.031,64,11
924,23.871,64,7
925,23.889,64,8
926,23.647,64,13
927,14.171,64,11
928,14.213,64,10
929,18.374,64,7
930,26.179,64,10
931,20.69,64,9
932,24.147,64,9
933,14.038,64,9
934,17.419,64,6
935,13.722,64,9
936,23.595,64,7
937,13.06,64,8
938,18.632,64,10
939,20.431,64,9
940,17.152,64,9
941,9.784,64,9
942,12.845,64,10
943,9.661,64,5
944,27.309,64,6
945,25.72,64,7
946,14.163,64,11
947,17.015,64,10
948,11.825,64,9
949,11.985,64,10
950,14.074,64,7
951,39.642,64,14
952,20.45,64,11
953,13.64,64,9
954,20.432,64,8
955,25.597,64,9
956,13.701,64,12
957,13.556,64,12
958,19.985,64,6
959,29.213,64,9
960,7.519,64,5
961,7.564,64,8
962,14.024,64,10
963,14.264,64,9
964,13.823,64,10
965,13.741,64,9
966,17.071,64,9
967,27.649,64,8
968,36.938,64,10
969,16.943,64,8
970,13.581,64,12
971,7.935,64,11
972,9.057,64,7
973,17.508,64,7
974,26.119,64,8
975,20.303,64,11
976,17.624,64,10
977,24.074,64,12
978,47.85,64,10
979,24.164,64,11
980,23.648,64,10
981,20.127,64,11
982,36.647,64,9
983,18.644,64,11
984,18.637,64,8
985,20.571,64,9
986,12.203,64,11
987,26.072,64,11
988,13.147,64,8
989,17.235,64,9
990,9.662,64,8
991,23.68,64,6
992,9.742,64,10
993,9.221,64,9
994,13.967,64,8
995,11.843,64,7
996,9.092,64,7
997,17.381,64,9
998,38.068,64,9
999,11.898,64,11
1000,18.873,64,9
1001,40.533,64,11
1002,9.494,64,4
1003,19.97,64,10
1004,36.821,64,9
1005,24.002,64,9
1006,18.68,64,6
1007,13.677,64,11
1008,9.684,64,6
1009,18.57,64,10
1010,29.816,64,9
1011,17.313,64,9
1012,23.77,64,9
1013,17.515,64,9
1014,18.941,64,11
1015,20.096,64,10
1016,13.616,64,11
1017,13.564,64,9
1018,9.74,64,10
1019,23.641,64,9
1020,18.742,64,9
1021,12.155,64,10
1022,13.862,64,10
1023,11.881,64,9
1024,36.561,64,12
1025,26.164,64,8
1026,20.034,64,8
1027,17.019,64,10
1028,13.517,64,11
1029,19.006,64,9
1030,13.98,64,9
