id,ROUGE-1,ROUGE-2,ROUGE-L,BLEU-1,BLEU-2,BLEU-3,BLEU-4,BLEU,METEOR,BERTScore-F1
3233,0.122,0.075,0.122,0.0386,0.0228,0.009,0.0057,0.0057,0.0311,-0.5197
166,0.126,0.0317,0.1181,0.0876,0.0345,0.0202,0.0087,0.0087,0.0569,-0.5746
2726,0.2879,0.1077,0.2273,0.0146,0.0057,0.0033,0.0015,0.0015,0.0921,-0.5642
1705,0.1084,0.061,0.1084,0.0652,0.0464,0.0288,0.0128,0.0128,0.0699,-0.5847
2217,0.087,0.0177,0.087,0.0082,0.0019,0.0012,0.0009,0.0009,0.0197,-0.4459
2731,0.0833,0.0508,0.0833,0.0,0.0,0.0,0.0,0.0,0.0295,-0.0405
2222,0.0909,0.0,0.0909,0.0019,0.0006,0.0005,0.0005,0.0005,0.033,-0.5535
687,0.0925,0.0585,0.0925,0.0,0.0,0.0,0.0,0.0,0.0268,-0.1689
2224,0.1935,0.1099,0.1935,0.0431,0.0289,0.0224,0.0168,0.0168,0.103,-0.239
2737,0.064,0.0163,0.064,0.0,0.0,0.0,0.0,0.0,0.0199,-0.7482
