id,generation_time_seconds,iterations,n_entities_pinned
542,1.751,4,9
543,3.348,6,10
544,1.648,6,8
545,1.569,4,10
546,2.619,6,9
547,1.675,6,8
548,2.397,6,8
549,4.811,24,8
550,2.054,4,9
551,1.128,4,9
552,1.828,6,7
553,1.361,6,10
554,1.103,6,10
555,1.346,6,8
556,1.873,6,9
557,1.364,6,6
558,1.855,6,10
559,1.203,6,10
560,2.027,6,9
561,2.832,6,8
562,0.783,4,2
563,2.355,6,9
564,1.593,4,8
565,3.426,6,12
566,1.321,4,10
567,2.249,4,14
568,4.845,26,6
569,6.251,31,11
570,1.117,4,10
571,1.122,6,9
572,0.912,4,9
573,1.87,6,11
574,1.646,6,9
575,6.377,32,10
576,1.252,4,10
577,0.787,4,10
578,5.317,27,5
579,0.717,4,10
580,1.331,6,9
581,0.884,4,7
582,1.239,4,12
583,1.883,6,9
584,2.357,6,10
585,2.48,6,9
586,1.135,6,10
587,2.78,6,10
588,1.881,6,9
589,1.819,6,8
590,0.908,4,10
591,0.791,4,8
592,1.109,4,11
593,2.779,4,14
594,1.242,4,9
595,1.102,4,9
596,1.844,6,9
597,3.058,6,8
598,0.922,4,10
599,1.745,4,8
600,1.712,6,8
601,1.648,6,10
602,1.242,4,11
603,1.764,8,10
604,1.193,6,7
605,5.985,30,11
606,1.444,6,8
607,2.833,6,10
608,2.378,6,9
609,1.862,4,10
610,2.35,6,11
611,1.346,4,10
612,1.345,6,11
613,2.356,6,12
614,1.999,6,10
615,0.741,4,9
616,2.083,4,11
617,2.592,6,9
618,2.857,6,7
619,2.05,6,9
620,1.998,6,9
621,1.31,4,8
622,1.665,6,10
623,1.329,6,11
624,1.72,6,10
625,6.036,33,9
626,2.628,6,10
627,1.096,4,9
628,1.679,6,8
629,1.308,4,11
630,6.765,37,9
631,2.026,6,10
632,2.781,6,10
633,0.778,4,12
634,1.313,4,6
635,1.099,6,7
636,2.927,6,10
637,3.336,6,8
638,0.932,4,9
639,1.443,6,10
640,3.356,17,7
641,1.193,6,8
642,2.035,6,11
643,1.102,6,9
644,1.877,4,11
645,1.993,6,9
646,1.318,4,8
647,1.239,4,8
648,2.05,6,12
649,2.575,6,9
650,1.376,6,12
651,1.248,4,7
652,0.74,4,4
653,0.782,4,10
654,1.205,6,11
655,1.558,4,8
656,1.435,6,12
657,3.597,6,9
658,1.123,6,10
659,1.25,4,10
660,1.607,4,12
661,1.115,6,9
662,3.547,6,12
663,5.536,12,8
664,1.719,6,9
665,10.264,51,10
666,2.845,6,8
667,1.211,6,9
668,1.1,6,12
669,1.395,6,6
670,6.105,33,10
671,0.922,4,8
672,8.332,42,10
673,4.194,6,10
674,1.865,6,12
675,2.028,6,12
676,2.393,6,11
677,0.744,4,12
678,0.876,4,9
679,2.59,6,11
680,1.348,4,8
681,1.307,4,9
682,0.963,4,10
683,0.737,4,10
684,1.133,6,10
685,2.677,6,11
686,1.709,6,8
687,1.687,6,8
688,1.445,6,12
689,1.335,4,10
690,1.257,4,8
691,1.393,6,10
692,1.708,6,11
693,2.354,6,10
694,1.399,6,8
695,1.224,4,9
696,2.053,6,7
697,1.36,6,8
698,2.618,6,8
699,0.914,4,7
700,1.704,6,10
701,1.103,4,8
702,2.009,6,11
703,1.335,6,9
704,0.894,4,8
705,1.653,6,9
706,3.356,6,7
707,1.34,4,10
708,3.058,6,12
709,2.757,6,8
710,2.85,6,9
711,1.349,4,10
712,1.824,6,10
713,1.598,4,9
714,1.096,6,9
715,2.36,6,9
716,0.791,4,7
717,1.105,4,10
718,1.847,6,10
719,1.99,6,9
720,1.439,6,9
721,0.782,4,8
722,0.894,4,11
723,7.659,41,8
724,1.257,4,10
725,1.877,6,10
726,1.126,6,11
727,1.716,4,11
728,1.641,6,11
729,5.511,28,6
730,1.145,4,10
731,1.329,6,11
732,1.868,6,11
733,2.585,4,10
734,0.79,4,9
735,1.655,6,8
736,1.389,6,11
737,1.377,6,10
738,1.384,6,7
739,0.728,4,8
740,0.794,4,8
741,2.642,6,9
742,1.709,6,11
743,6.315,34,11
744,3.528,19,9
745,1.134,6,10
746,1.233,4,9
747,1.663,6,8
748,1.814,9,10
749,5.083,27,10
750,1.696,6,9
751,1.344,4,10
752,1.653,6,10
753,2.411,6,9
754,1.19,6,7
755,1.839,6,9
756,1.378,6,10
757,1.829,6,9
758,1.11,4,8
759,1.349,6,9
760,1.41,6,8
761,0.878,4,11
762,1.11,6,12
763,1.6,4,11
764,2.648,6,9
765,1.331,4,10
766,2.032,6,12
767,6.228,31,3
768,1.126,6,9
769,0.787,4,11
770,1.141,4,9
771,1.33,6,10
772,1.71,6,11
773,1.356,4,11
774,1.584,4,10
775,1.142,4,9
776,3.046,6,8
777,1.957,6,9
778,1.348,6,10
779,1.349,4,7
780,1.207,6,13
781,1.886,6,9
782,1.659,6,11
783,0.897,4,10
784,2.014,6,8
785,5.826,29,5
786,1.124,6,8
787,0.73,4,10
788,1.85,6,9
789,0.886,4,9
790,2.633,6,8
791,1.69,6,12
792,4.519,23,10
793,2.797,6,10
794,1.713,6,10
795,1.709,6,9
796,0.781,4,10
797,1.369,6,9
798,1.407,6,12
799,0.784,4,10
800,1.205,6,7
801,7.323,37,9
802,1.657,6,10
803,1.712,6,9
804,2.61,6,12
805,1.308,4,11
806,1.678,6,10
807,0.731,4,12
808,2.604,6,10
809,1.342,6,11
810,1.852,6,10
811,0.79,4,9
812,1.849,6,11
813,3.93,6,8
814,3.367,6,10
815,1.125,4,12
816,1.332,6,9
817,1.209,6,11
818,3.733,6,6
819,1.836,6,11
820,0.921,4,10
821,4.005,6,10
822,1.705,6,9
823,2.042,6,11
824,0.961,4,9
825,1.662,6,10
826,2.585,6,9
827,1.138,4,8
828,1.817,6,10
829,2.787,6,7
830,1.579,4,10
831,1.231,4,10
832,1.234,4,10
833,1.394,6,8
834,2.004,6,8
835,1.196,6,7
836,1.124,6,6
837,3.173,6,7
838,1.859,6,9
839,1.879,6,11
840,1.345,6,10
841,2.626,6,12
842,1.607,4,10
843,1.721,6,10
844,1.383,6,9
845,0.899,4,10
846,1.435,6,8
847,0.738,4,10
848,3.128,6,9
849,2.376,6,10
850,0.782,4,6
851,0.879,4,10
852,2.36,6,8
853,1.654,6,7
854,2.377,6,11
855,2.673,6,9
856,0.733,4,9
857,1.985,6,10
858,1.207,6,9
859,1.375,6,12
860,1.342,6,10
861,2.379,6,10
862,1.114,4,10
863,6.244,31,4
864,1.862,6,12
865,5.178,26,8
866,1.326,4,10
867,1.675,6,9
868,0.725,4,9
869,2.373,6,9
870,2.421,6,10
871,2.403,6,12
872,1.679,6,7
873,1.709,6,9
874,0.795,4,10
875,2.001,6,8
876,0.796,4,8
877,1.234,4,10
878,0.794,4,12
879,1.382,6,8
880,1.356,6,8
881,1.189,6,9
882,2.833,6,9
883,9.568,48,8
884,1.848,6,8
885,0.957,4,9
886,0.936,4,9
887,2.028,6,9
888,2.577,6,10
889,1.345,6,8
890,1.572,4,12
891,0.9,4,11
892,1.642,6,8
893,5.788,29,8
894,1.309,4,8
895,2.836,6,10
896,0.729,4,8
897,6.865,34,11
898,0.898,4,7
899,1.869,6,12
900,1.135,4,12
901,1.716,6,11
902,0.738,4,9
903,1.834,6,9
904,1.822,6,12
905,3.346,6,7
906,1.314,4,9
907,1.841,6,9
908,1.654,6,8
909,1.713,6,11
910,1.862,6,10
911,2.038,6,10
912,1.125,6,8
913,4.597,23,9
914,0.738,4,9
915,0.918,4,11
916,0.733,4,10
917,0.91,4,10
918,1.213,6,10
919,1.443,6,11
920,1.261,4,10
921,1.233,4,9
922,1.262,4,11
923,0.965,4,11
924,2.381,6,7
925,2.388,6,9
926,1.576,4,12
927,1.641,6,10
928,1.64,6,11
929,1.856,6,7
930,1.846,4,10
931,2.352,6,9
932,2.588,6,9
933,0.96,4,9
934,1.138,4,7
935,1.346,6,10
936,2.367,6,8
937,1.206,6,8
938,1.824,6,9
939,1.34,4,9
940,1.666,6,9
941,0.718,4,9
942,1.133,6,10
943,3.638,18,5
944,2.886,6,7
945,2.606,6,7
946,1.451,6,10
947,1.662,6,10
948,0.721,4,9
949,1.107,6,10
950,1.407,6,8
951,4.2,6,14
952,2.021,6,11
953,0.89,4,9
954,1.362,4,11
955,2.574,6,9
956,0.9,4,12
957,1.34,6,12
958,1.324,4,6
959,3.052,6,8
960,4.863,26,5
961,1.852,10,8
962,1.441,6,10
963,1.104,4,9
964,1.342,6,8
965,0.92,4,9
966,1.668,6,8
967,3.041,6,9
968,3.828,6,12
969,1.644,6,10
970,1.333,6,9
971,4.399,22,11
972,4.173,23,7
973,1.695,6,7
974,2.648,6,9
975,1.316,4,10
976,1.832,6,10
977,2.573,6,10
978,4.889,6,8
979,1.714,4,11
980,2.358,6,9
981,1.978,6,11
982,2.377,4,9
983,1.96,6,10
984,1.83,6,9
985,2.035,6,8
986,0.779,4,11
987,2.77,6,10
988,0.795,4,9
989,1.691,6,10
990,7.864,39,8
991,2.383,6,9
992,0.715,4,10
993,3.931,21,9
994,1.39,6,9
995,1.089,6,7
996,6.311,34,7
997,1.132,4,10
998,3.897,6,11
999,1.107,6,11
1000,1.851,6,10
1001,3.943,6,12
1002,5.159,26,4
1003,1.325,4,10
1004,2.494,4,8
1005,2.424,6,9
1006,1.221,4,7
1007,0.906,4,11
1008,5.661,28,6
1009,1.249,4,9
1010,3.343,6,8
1011,1.655,6,10
1012,1.594,4,9
1013,1.715,6,9
1014,1.861,6,12
1015,1.998,6,12
1016,1.363,6,11
1017,1.351,6,9
1018,6.083,30,10
1019,2.367,6,11
1020,1.231,4,9
1021,1.135,6,10
1022,1.378,6,12
1023,1.104,6,9
1024,2.37,4,12
1025,1.743,4,8
1026,1.983,6,9
1027,1.102,4,10
1028,1.35,6,11
1029,1.859,6,10
1030,0.93,4,9
1031,1.855,6,9
1032,1.102,6,10
1033,1.361,4,9
1034,1.668,6,11
1035,1.585,4,11
1036,5.075,6,6
1037,1.659,6,11
1038,1.645,6,11
1039,3.731,6,11
1040,2.388,6,9
1041,1.213,6,9
1042,4.344,23,9
1043,1.376,6,8
1044,1.719,6,11
1045,3.338,18,5
1046,2.821,6,12
1047,2.609,6,10
1048,4.163,6,9
1049,0.882,4,9
1050,1.703,4,10
1051,2.566,9,9
1052,0.731,4,10
1053,0.902,4,9
1054,2.833,6,11
1055,1.362,6,10
1056,1.118,4,10
1057,1.105,4,11
1058,1.885,6,9
1059,0.793,4,9
1060,1.878,6,8
1061,1.382,6,8
1062,1.111,6,10
1063,1.241,4,10
1064,3.449,6,8
1065,2.359,6,7
1066,1.89,6,10
1067,3.521,6,7
1068,1.351,6,9
1069,1.086,6,11
1070,1.206,6,11
1071,0.729,4,10
1072,1.863,4,8
1073,1.102,4,11
1074,1.962,6,11
1075,2.842,6,8
1076,1.857,6,11
1077,3.044,6,10
1078,0.929,4,11
1079,11.31,56,8
1080,2.826,6,11
1081,3.802,6,9
1082,2.637,6,8
1083,1.326,4,9
1084,4.281,6,11
1085,1.71,6,12
1086,1.349,6,11
1087,1.565,4,7
1088,1.126,6,9
1089,1.713,4,8
1090,0.74,4,5
1091,2.373,6,9
1092,0.798,4,9
1093,1.136,6,10
1094,4.33,23,10
1095,1.106,4,7
1096,3.127,6,9
1097,1.734,4,8
1098,1.211,6,10
1099,2.84,6,8
1100,1.094,4,10
1101,1.382,6,10
1102,4.225,6,12
1103,1.141,4,11
1104,2.7,8,8
1105,0.934,4,11
1106,1.662,6,10
1107,1.877,6,9
1108,2.021,6,10
1109,2.066,4,11
1110,1.862,6,9
1111,1.677,6,11
1112,1.883,6,6
1113,1.581,4,8
1114,1.351,6,9
1115,0.792,4,8
1116,0.896,4,8
